body,title,url
"Bajo el hashtag #YoSíTeCreoFrida se generó un movimiento en apoyo a Frida Sofía quien en días pasados denunció un caso de acoso sexual por parte de su abuelo, el cantante Enrique Guzmán. Según detalló la joven de 29 años, cuando era pequeña su abuelo la tocaba indebidamente. ",,https://www.eluniversal.com.mx/espectaculos/farandula/una-foto-dice-mas-que-mil-palabras-dice-frida-sofia-sobre-enrique-guzman
"Toluca, Méx.- Luego de la granizada que se registró la tarde de este miércoles en la capital, la Coordinación de Protección Civil y Bomberos de Toluca atendió el reporte del derrumbe de una techumbre en un edificio ubicado en Santa María Totoltepec así como algunas inundaciones en viviendas y negocios en la misma zona. ",Cae techumbre por granizada en Toluca ,https://www.eluniversal.com.mx/metropoli/cae-techumbre-por-granizada-en-toluca
"Luego de que este martes el pleno del Senado aprobara en lo particular y en lo general la creación del Padrón de Usuarios de Telefonía Móvil, aquí te explicamos cómo te afectará y en qué consiste esta iniciativa que será enviada al jefe del Ejecutivo.",¿Cómo te afecta el Padrón de Usuarios de Telefonía Móvil aprobado en el Senado?,https://www.eluniversal.com.mx/cartera/padron-de-usuarios-de-telefonia-movil-como-te-afecta-lo-aprobado-en-el-senado
"Toluca, Méx.- A partir de este jueves 15 de abril iniciará la aplicación de la segunda dosis de vacunas contra Covid-19 para adultos a partir de los 60 años en Papalotla y el viernes 16 de abril en 22 municipios más.",Así iniciará la aplicación de segunda dosis de vacunas antiCovid en el Edomex a partir del 15 de abril ,https://www.eluniversal.com.mx/metropoli/segunda-dosis-edomex-asi-iniciara-la-aplicacion-partir-del-15-de-abril
"Los consejeros del Instituto Nacional Electoral anoche confirmaron por seis votos a favor y cinco en contra, la cancelación del registro del morenista Félix Salgado, como candidato a gobernador de Guerrero por no presentar el reporte de sus gastos de campaña. Javier Aparicio, economista, politólogo y profesor-investigador del CIDE, nos da su punto de vista. ","La telenovela Salgado Macedonio, un podcast de Ana Paula Ordorica",https://www.eluniversal.com.mx/nacion/la-telenovela-salgado-macedonio-un-podcast-de-ana-paula-ordorica
La tarde de este miércoles se activó la alerta amarilla por altas temperaturas en seis alcaldías de la Ciudad de México.,Pronostican hasta 30 grados de temperatura para este jueves en 6 alcaldías de la CDMX ,https://www.eluniversal.com.mx/metropoli/tiempo-cdmx-pronostican-hasta-30-grados-para-este-jueves-en-6-alcaldias
"
La actriz Lindsay Lohan se tomó un descanso de la rutina y vacacionó en la paradisiaca playa de las Maldivas con una estancia en el hotel W Maldives. ",Lindsay Lohan impacta con traje de baño rojo en piscina infinita,https://www.viveusa.mx/showbiz/lindsay-lohan-impacta-con-traje-de-bano-rojo-en-piscina-infinita
"El Instituto Nacional Electoral (INE) al ser el árbitro del juego, no entrará en confrontaciones con ninguno de los actores políticos, así que para quienes estén inconformes ""ahí está el camino de la ley"", dijo el consejero presidente del organismo electoral, Lorenzo Córdova.",,https://www.eluniversal.com.mx/elecciones/felix-salgado-cordova-amlo-ine-no-cae-en-provocaciones-el-arbitro-no-juega
"
Integrantes del Consejo y Comité estatal de Morena acusan que hubo irregularidades en la designación de candidatos.",Morenistas en desacuerdo por elección de candidaturas,https://www.eluniversalqueretaro.mx/politica/morenistas-en-desacuerdo-por-eleccion-de-candidaturas
"Al corte de este miércoles 14 de abril, México acumuló 210 mil 812 muertes por Covid-19, esto es, 518 más que el día anterior, informaron autoridades sanitarias durante la conferencia vespertina sobre coronavirus en el país.",,https://www.eluniversal.com.mx/nacion/coronavirus-14-de-abril-mexico-acumula-210-mil-812-muertes-por-covid-19
"Buenos Aires.- El gobierno de Argentina endureció este miércoles el toque de queda en el Área Metropolitana de Buenos Aires (AMBA), formada por la capital y sus localidades colindantes, y allí estará prohibida la circulación entre las 20:00 y las 6:00 debido al aumento de casos de Covid-19. ",​​​​​​​Argentina endurece toque de queda por Covid-19 y vuelve a cerrar escuelas en Buenos Aires,https://www.eluniversal.com.mx/mundo/argentina-endurece-toque-de-queda-por-covid-19-y-vuelve-cerrar-escuelas-en-buenos-aires
"Luis David “G” elemento de la Guardia Nacional implicado en la agresión de su esposa sobre Calzada de las Bombas cuando viajaban a bordo de un Mustang, fue vinculado a proceso por los delitos de narcomenudeo en posesión simple con fines de comercio, y portación de arma de fuego, por lo que permanecerá en prisión, luego que su pareja no denunciara la agresión en su contra.",Procesan a elemento de Guardia Nacional que golpeó y arrastró a mujer en la CDMX,https://www.eluniversal.com.mx/metropoli/procesan-elemento-de-guardia-nacional-que-agredio-mujer-en-la-cdmx
"Las Águilas cayeron 0-1 ante el Olimpia, pero avanzó a los cuartos de final de la Liga de Campeones de Concacaf gracias a los goles de visitante que anotó en Honduras.",América pierde en el Azteca frente al Olimpia pero avanza a Cuartos,https://www.eluniversal.com.mx/universal-deportes/futbol/america-vs-olimpia-en-vivo-octavos-de-final-concacaf-2021
